date, value
01-07-2006,16.2487
01-08-2006,16.5944
01-09-2006,17.002
01-10-2006,16.9052
01-11-2006,17.1835
01-12-2006,17.4003
01-01-2007,17.2969
01-02-2007,16.9191
01-03-2007,17.0879
01-04-2007,17.4561
01-05-2007,18.0243
01-06-2007,17.7031
01-07-2007,18.5149
01-08-2007,18.7531
01-09-2007,19.4243
01-10-2007,23.4116
01-11-2007,22.3805
01-12-2007,22.1874
01-01-2008,22.8275
01-02-2008,22.0339
01-03-2008,21.9026
01-04-2008,26.9727
01-05-2008,27.2607
01-06-2008,24.9173
01-07-2008,27.5817
01-08-2008,27.918
01-09-2008,25.3832
01-10-2008,65.1042
01-11-2008,60.2312
01-12-2008,60.7023
01-01-2009,120.3907
01-02-2009,107.156
01-03-2009,116.3076
01-04-2009,116.2197
01-05-2009,122.3888
01-06-2009,122.4128
01-07-2009,78.7464
01-08-2009,81.3892
01-09-2009,84.2967
01-10-2009,20.3294
01-11-2009,21.4956
01-12-2009,21.8776
01-01-2010,17.6247
01-02-2010,18.1272
01-03-2010,19.193
01-04-2010,17.6854
01-05-2010,16.2356
01-06-2010,15.3608
01-07-2010,15.3298
01-08-2010,14.6024
01-09-2010,15.8809
01-10-2010,15.2975
01-11-2010,15.2624
01-12-2010,16.2591
01-01-2011,15.8175
01-02-2011,16.323
01-03-2011,16.3059
01-04-2011,16.2586
01-05-2011,16.0391
01-06-2011,15.7463
01-07-2011,14.8572
01-08-2011,14.0135
01-09-2011,13.0078
01-10-2011,14.414
01-11-2011,14.3411
01-12-2011,14.4635
01-01-2012,14.8228
01-02-2012,15.4244
01-03-2012,15.9077
01-04-2012,15.8998
01-05-2012,14.9037
01-06-2012,15.4932
01-07-2012,15.9459
01-08-2012,16.261
01-09-2012,16.6551
01-10-2012,16.3237
01-11-2012,16.3701
01-12-2012,16.4858
01-01-2013,17.0822
01-02-2013,17.2712
01-03-2013,17.8927
01-04-2013,17.5654
01-05-2013,17.9301
01-06-2013,17.6611
01-07-2013,17.863
01-08-2013,17.3039
01-09-2013,17.8187
01-10-2013,17.5303
01-11-2013,18.0221
01-12-2013,18.4467
01-01-2014,17.6757
01-02-2014,18.4378
01-03-2014,18.5656
01-04-2014,18.2695
01-05-2014,18.6537
01-06-2014,19.0092
01-07-2014,18.2207
01-08-2014,18.9069
01-09-2014,18.6135
01-10-2014,19.7249
01-11-2014,20.2088
01-12-2014,20.1241
01-01-2015,20.1007
01-02-2015,21.204
01-03-2015,20.8352
01-04-2015,21.9736
01-05-2015,22.2041
01-06-2015,21.7375
01-07-2015,23.2058
01-08-2015,21.7536
01-09-2015,21.1784
01-10-2015,24.0305
01-11-2015,24.0426
01-12-2015,23.6212
01-01-2016,22.4461
01-02-2016,22.3534
01-03-2016,23.8286
01-04-2016,23.7609
01-05-2016,24.1252
01-06-2016,24.147
01-07-2016,24.3978
01-08-2016,24.3681
01-09-2016,24.338
01-10-2016,22.487
01-11-2016,23.2555
01-12-2016,23.6788
01-01-2017,22.7228
01-02-2017,23.5681
01-03-2017,23.5589
01-04-2017,22.9206
01-05-2017,23.1859
01-06-2017,23.2975
01-07-2017,23.0697
01-08-2017,23.0823
01-09-2017,23.5278
01-10-2017,23.437
01-11-2017,24.0952
01-12-2017,24.3321
01-01-2018,24.4613
01-02-2018,23.5086
01-03-2018,22.8766
01-04-2018,21.6203
01-05-2018,22.0874
01-06-2018,22.1944
01-07-2018,21.599
01-08-2018,22.2526
01-09-2018,22.3482
01-10-2018,20.483
01-11-2018,20.8488
01-12-2018,18.9353
01-01-2019,20.1213
01-02-2019,20.7195
01-03-2019,21.0909
01-04-2019,21.7774
01-05-2019,20.3449
01-06-2019,21.7473
01-07-2019,22.4257
01-08-2019,22.02
01-09-2019,22.3983
01-10-2019,21.7699
01-11-2019,22.5111
01-12-2019,23.1547
01-01-2020,27.7273
01-02-2020,25.3952
01-03-2020,22.2177
01-04-2020,25.0359
01-05-2020,26.1696
01-06-2020,26.6508
